,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6227,6227,Atrophic gastritis,phecode-535.2-both_sexes.tsv,0,0,0,0,0,0,3.942467022454939e-07,1.0,True,0.2,500,
6228,6228,Duodenitis,phecode-535.6-both_sexes.tsv,4,2,0,1,1,0,4.85779566580336e-07,1.0,True,0.2,500,
6229,6229,Other specified gastritis,phecode-535.8-both_sexes.tsv,0,0,0,0,0,0,3.880010444453016e-07,1.0,True,0.2,500,
6234,6234,Appendicitis,phecode-540.1-both_sexes.tsv,2,0,0,4,4,0,3.716681079859849e-07,1.0,True,0.2,500,
6235,6235,Acute appendicitis,phecode-540.11-both_sexes.tsv,1,0,0,3,4,0,3.671357359733993e-07,0.75,True,0.2,500,
6237,6237,Inguinal hernia,phecode-550.1-both_sexes.tsv,51,17,6,54,59,2,3.629789685036456e-07,0.9152542372881356,True,0.2,500,
6238,6238,Diaphragmatic hernia,phecode-550.2-both_sexes.tsv,23,11,4,18,18,3,2.906410249286444e-07,1.0,True,0.2,500,
6239,6239,Femoral hernia,phecode-550.3-both_sexes.tsv,2,0,0,2,2,0,2.920855692168359e-07,1.0,True,0.2,500,
6240,6240,Umbilical hernia,phecode-550.4-both_sexes.tsv,7,0,1,9,9,0,2.795662541387012e-07,1.0,True,0.2,500,
6241,6241,Ventral hernia,phecode-550.5-both_sexes.tsv,4,0,2,3,3,0,3.0711835626740616e-07,1.0,True,0.2,500,
6243,6243,Regional enteritis,phecode-555.1-both_sexes.tsv,8,5,1,13,13,0,4.419405824699154e-07,1.0,True,0.2,500,
6244,6244,Ulcerative colitis,phecode-555.2-both_sexes.tsv,24,13,4,34,39,3,4.844147179328874e-07,0.8717948717948718,True,0.2,500,
6245,6245,Ulcerative colitis (chronic),phecode-555.21-both_sexes.tsv,0,0,0,0,0,0,4.844146154969205e-07,1.0,True,0.2,500,
6247,6247,Ulceration of intestine,phecode-556.1-both_sexes.tsv,0,0,0,0,0,0,5.230682314621963e-07,1.0,True,0.2,500,
6249,6249,Celiac disease,phecode-557.1-both_sexes.tsv,271,179,45,478,481,57,5.578325715523235e-07,0.9937629937629938,True,0.2,500,
6253,6253,Paralytic ileus,phecode-560.1-both_sexes.tsv,0,0,0,0,0,0,4.4975862031334273e-07,1.0,True,0.2,500,
